data,mm,temp_mean,temp_max,temp_min,feriado,qnt_delivery,qnt_pickup,qnt_local
2022-01-01,0.0,26.713043478260868,27.44347826086957,25.88695652173913,2,2188,514,134
2022-01-02,0.0,28.85833333333333,29.7875,27.95,0,2352,589,133
2022-01-03,18.2,22.575,23.325,22.04583333333333,0,1656,326,59
2022-01-04,3.6,22.575,22.9875,22.2625,0,1708,401,66
2022-01-05,24.2,22.1625,23.0375,21.45,0,1888,436,66
2022-01-06,0.2,21.629166666666663,22.066666666666663,21.10833333333333,0,1877,473,96
2022-01-07,0.0,22.9375,23.575,22.2375,0,2832,665,175
2022-01-08,0.0,22.573913043478264,23.29565217391304,21.965217391304343,0,2662,710,160
2022-01-09,0.0,21.416666666666668,21.9625,20.945833333333333,0,2343,542,101
2022-01-10,0.0,22.53333333333333,23.4,21.84583333333333,0,1510,348,67
2022-01-11,0.0,24.8375,25.48333333333333,24.016666666666666,0,1560,359,56
2022-01-12,0.0,26.820833333333336,27.59583333333333,26.004166666666663,0,1581,362,78
2022-01-13,3.4,25.275,26.3375,24.195833333333336,0,1721,370,75
2022-01-14,0.2,24.847826086956523,25.730434782608693,24.017391304347825,0,2653,728,124
2022-01-15,10.4,25.3375,26.20833333333333,24.60833333333333,0,3459,922,141
2022-01-16,0.6000000000000001,26.55,27.0375,25.6625,0,2664,594,122
2022-01-17,0.0,27.9375,28.64583333333333,27.27083333333333,0,1583,343,57
2022-01-18,0.0,28.2875,29.375,27.35833333333333,0,1778,370,49
2022-01-19,0.0,26.73913043478261,27.317391304347822,25.90869565217391,0,1772,399,103
2022-01-20,0.0,28.516666666666666,29.3625,27.75,0,1924,445,89
2022-01-21,0.0,28.58333333333333,29.491666666666664,27.816666666666663,0,2225,567,144
2022-01-22,1.4,28.8375,29.854166666666668,27.98333333333333,0,2389,653,117
2022-01-23,0.0,29.3375,30.354166666666668,28.725,0,2383,493,113
2022-01-24,4.6,26.543478260869566,27.347826086956523,25.691304347826087,0,1421,320,59
2022-01-25,0.0,26.758333333333336,27.379166666666663,26.1375,0,1583,380,73
2022-01-26,1.7999999999999998,26.12608695652174,27.26086956521739,25.065217391304348,0,1721,384,119
2022-01-27,10.0,22.245833333333334,22.879166666666663,21.875,0,1819,441,105
2022-01-28,0.4,19.308333333333334,19.64583333333333,19.09583333333333,0,2109,588,97
2022-01-29,0.0,18.120833333333334,18.416666666666668,17.920833333333334,0,2284,639,131
2022-01-30,7.2,20.95,21.558333333333334,20.120833333333334,0,2406,476,117
2022-01-31,3.6,22.3,22.791666666666668,21.575,0,1587,325,72
2022-02-01,0.0,24.8125,25.7375,24.004166666666663,0,1706,379,86
2022-02-02,0.0,26.079166666666666,26.90416666666667,25.375,0,1793,395,121
2022-02-03,0.0,27.245833333333334,27.83333333333333,26.54583333333333,0,1966,441,115
2022-02-04,29.4,22.741666666666664,23.4,22.3375,0,3020,740,199
2022-02-05,6.0,22.308333333333334,22.633333333333336,21.95,0,2983,725,181
2022-02-06,0.0,21.67826086956521,22.24347826086957,21.18260869565217,0,2983,616,156
2022-02-07,0.0,19.75,20.625,18.829166666666666,0,1611,322,73
2022-02-08,0.0,20.35652173913044,21.082608695652173,19.67826086956521,0,1686,370,92
2022-02-09,0.0,22.666666666666668,23.28333333333333,21.804166666666664,0,1797,421,124
2022-02-10,0.4,23.945833333333336,24.870833333333334,23.22083333333333,0,1973,429,113
2022-02-11,0.0,24.15833333333333,24.8875,23.445833333333336,0,2828,728,150
2022-02-12,0.0,24.65833333333333,25.354166666666668,23.8625,0,3071,741,217
2022-02-13,0.0,24.275,25.079166666666666,23.6125,0,2741,562,156
2022-02-14,0.0,23.691666666666663,24.3375,22.98333333333333,0,1378,315,70
2022-02-15,0.0,24.821739130434786,25.55652173913043,24.00869565217392,0,1589,381,75
2022-02-16,0.0,26.05652173913043,26.88695652173913,25.230434782608693,0,1694,453,147
2022-02-17,0.0,25.475,26.266666666666666,24.633333333333336,0,1876,453,119
2022-02-18,2.0,23.566666666666663,24.58333333333333,22.6375,0,2484,659,187
2022-02-19,0.0,24.28333333333333,25.04583333333333,23.475,0,3078,910,264
2022-02-20,0.0,25.98333333333333,27.03333333333333,25.1875,0,2704,560,121
2022-02-21,4.2,22.54583333333333,23.22083333333333,21.89583333333333,0,1379,315,57
2022-02-22,0.0,24.569565217391304,25.35217391304348,23.756521739130434,0,1541,375,71
2022-02-23,0.0,25.20833333333333,25.9125,24.508333333333336,0,1629,398,87
2022-02-24,24.6,26.491666666666664,27.883333333333336,25.491666666666664,0,1986,416,109
2022-02-25,36.8,21.375,21.9375,20.85833333333333,0,2612,644,108
2022-02-26,0.4,24.008333333333336,24.5375,23.195833333333336,0,2588,732,183
2022-02-27,0.0,27.120833333333334,27.89583333333333,26.495833333333334,1,2458,519,113
2022-02-28,5.6000000000000005,26.65,27.516666666666666,25.975,1,1932,409,77
2022-03-01,0.8,23.813636363636363,24.14090909090909,23.15,1,1900,385,118
2022-03-02,5.199999999999999,23.421739130434784,24.09130434782609,22.869565217391305,2,1581,432,59
2022-03-03,0.0,24.3125,25.241666666666664,23.691666666666663,0,1742,455,115
2022-03-04,0.0,24.1,24.97083333333333,23.416666666666668,0,2570,677,147
2022-03-05,0.0,25.479166666666668,26.3,24.59583333333333,0,2754,667,201
2022-03-06,0.0,27.125,27.85833333333333,26.245833333333334,0,2808,572,111
2022-03-07,0.0,27.3625,27.95833333333333,26.558333333333334,0,1723,351,64
2022-03-08,8.4,24.558333333333334,25.7375,23.78333333333333,0,2466,544,108
2022-03-09,0.2,23.84583333333333,24.475,23.2,0,1849,448,84
2022-03-10,3.2,23.683333333333334,24.29583333333333,23.0875,0,2045,479,124
2022-03-11,5.0,20.277272727272727,20.63636363636364,19.931818181818183,0,2478,539,153
2022-03-12,1.2000000000000002,17.920833333333334,18.2,17.741666666666667,0,2655,655,160
2022-03-13,0.2,19.325,19.64583333333333,19.02083333333333,0,2868,576,132
2022-03-14,0.6000000000000001,20.22083333333333,20.675,19.75,0,1290,295,92
2022-03-15,0.0,20.079166666666666,21.004166666666663,19.291666666666668,0,1670,412,81
2022-03-16,0.0,20.579166666666666,21.029166666666665,20.14583333333333,0,1582,414,98
2022-03-17,0.0,23.59583333333333,24.195833333333336,22.854166666666668,0,1785,479,119
2022-03-18,19.2,23.58333333333333,24.52083333333333,22.929166666666664,0,2513,581,90
2022-03-19,6.4,20.479166666666668,20.8375,20.15833333333333,0,2322,635,174
2022-03-20,0.0,19.09583333333333,19.591666666666665,18.6375,0,2216,426,108
2022-03-21,0.0,20.508333333333333,21.070833333333333,19.85,0,1206,289,95
2022-03-22,0.0,22.304166666666664,22.84583333333333,21.6625,0,1510,363,81
2022-03-23,24.4,19.404166666666665,19.933333333333334,19.23333333333333,0,1790,402,90
2022-03-24,97.0,19.016666666666666,19.52083333333333,18.58333333333333,0,2025,436,123
2022-03-25,6.4,17.279166666666665,17.741666666666667,16.841666666666665,0,1989,554,137
2022-03-26,0.2,17.349999999999998,17.908333333333335,16.733333333333334,0,2123,640,129
2022-03-27,0.0,18.804166666666667,19.516666666666666,18.15,0,2208,455,128
2022-03-28,0.0,20.620833333333334,21.34166666666667,19.804166666666667,0,1226,301,89
2022-03-29,0.0,24.09583333333333,24.633333333333336,23.441666666666663,0,1463,344,89
2022-03-30,25.4,19.883333333333333,20.54583333333333,19.5,0,1864,442,92
2022-03-31,0.2,13.266666666666666,13.820833333333333,12.745833333333332,0,1811,424,101
2022-04-01,0.0,14.345833333333331,14.933333333333332,13.654166666666669,0,1849,493,121
2022-04-02,0.0,18.166666666666668,18.7125,17.520833333333332,0,2158,593,166
2022-04-03,0.0,19.325,19.683333333333334,19.025,0,2245,461,118
2022-04-04,36.8,19.779166666666665,20.175,19.45,0,1458,331,66
2022-04-05,0.0,20.066666666666663,20.579166666666666,19.5375,0,1653,386,98
2022-04-06,0.2,21.879166666666663,22.5125,21.27083333333333,0,1886,427,126
2022-04-07,67.2,19.85833333333333,20.254166666666663,19.675,0,2240,404,93
2022-04-08,22.0,19.35,19.72083333333333,19.03333333333333,0,1964,488,117
2022-04-09,0.4,19.341666666666665,19.875,18.7625,0,2485,587,178
2022-04-10,0.2,18.7625,19.2875,18.2875,0,3044,584,134
2022-04-11,22.6,18.97083333333333,19.370833333333334,18.58333333333333,0,1580,299,75
2022-04-12,37.4,18.841666666666665,19.120833333333334,18.554166666666667,0,1572,366,107
2022-04-13,0.4,20.504166666666663,20.95,20.0125,0,1706,421,112
2022-04-14,0.0,17.608333333333334,18.433333333333334,17.033333333333335,1,2541,641,148
2022-04-15,0.0,14.0375,14.666666666666666,13.454166666666666,2,2930,668,140
2022-04-16,0.0,15.3375,15.9875,14.7375,1,2585,733,217
2022-04-17,0.0,16.091666666666665,16.766666666666666,15.4875,2,2090,434,110
2022-04-18,0.0,17.2625,17.929166666666667,16.675,0,1217,270,69
2022-04-19,0.0,18.0125,18.629166666666663,17.420833333333334,0,1357,354,95
2022-04-20,0.0,18.95,19.60833333333333,18.3375,1,2063,515,148
2022-04-21,1.4,18.09583333333333,18.70833333333333,17.629166666666666,2,2703,517,122
2022-04-22,32.0,15.4,15.7625,15.120833333333332,0,2571,581,108
2022-04-23,33.0,16.291666666666668,16.729166666666668,15.829166666666666,0,2995,826,212
2022-04-24,0.2,18.2125,18.779166666666665,17.5,0,2540,494,119
2022-04-25,0.0,23.066666666666663,23.6125,22.5125,0,1296,281,99
2022-04-26,0.0,23.816666666666663,24.5125,23.22083333333333,0,1441,372,114
2022-04-27,0.0,25.541666666666668,26.05,24.945833333333336,0,1563,388,150
2022-04-28,13.8,23.679166666666664,24.47083333333333,23.175,0,1787,433,109
2022-04-29,1.0,17.920833333333334,18.279166666666665,17.533333333333335,0,2468,684,187
2022-04-30,7.0,18.816666666666663,19.304166666666667,18.404166666666665,1,3450,791,215
2022-05-01,11.8,20.3125,20.754166666666663,19.8875,2,3285,657,135
2022-05-02,33.2,18.6375,18.916666666666668,18.429166666666667,0,1495,254,85
2022-05-03,51.2,16.033333333333335,16.358333333333334,15.8875,0,1704,344,106
2022-05-04,19.8,14.3125,14.545833333333334,14.05,0,1655,409,101
2022-05-05,0.0,15.595833333333331,16.016666666666666,15.233333333333334,0,1946,482,111
2022-05-06,0.0,14.3,14.895833333333334,13.733333333333334,0,3039,734,179
2022-05-07,0.2,14.6875,15.345833333333331,13.966666666666669,1,3561,890,253
2022-05-08,0.0,15.041666666666666,15.683333333333332,14.466666666666669,2,2642,534,143
2022-05-09,0.0,16.525000000000002,17.041666666666668,15.916666666666666,0,1393,313,105
2022-05-10,9.8,16.929166666666667,17.358333333333334,16.591666666666665,0,1702,309,106
2022-05-11,18.4,15.545833333333334,16.058333333333334,15.175,0,1660,435,152
2022-05-12,0.2,13.733333333333334,14.325,13.216666666666669,0,1747,489,131
2022-05-13,0.0,14.675,15.225,13.941666666666668,0,2626,690,208
2022-05-14,20.2,15.525,16.008333333333333,15.195833333333333,0,3746,811,183
2022-05-15,3.0,14.8875,15.15,14.654166666666669,0,2807,507,119
2022-05-16,0.4,10.825,11.433333333333332,10.545833333333333,0,1182,269,84
2022-05-17,1.4,7.483333333333333,7.837499999999999,7.25,0,1492,288,63
2022-05-18,9.4,7.633333333333333,7.75,7.4375,0,1788,369,81
2022-05-19,6.6000000000000005,9.8625,10.2,9.5,0,1685,423,92
2022-05-20,0.2,9.8125,10.504166666666666,8.991666666666667,0,2565,695,153
2022-05-21,0.0,11.841666666666669,12.533333333333331,11.029166666666669,0,3296,871,169
2022-05-22,0.0,12.4875,13.129166666666668,11.845833333333331,0,2584,533,148
2022-05-23,0.0,15.454166666666666,15.995833333333332,14.833333333333334,0,1283,267,81
2022-05-24,0.0,17.837500000000002,18.3625,17.179166666666667,0,1406,371,103
2022-05-25,0.0,19.604166666666668,20.175,18.854166666666668,0,1566,431,127
2022-05-26,0.0,17.741666666666667,18.1125,17.520833333333332,0,1607,417,138
2022-05-27,32.6,16.116666666666667,16.508333333333333,15.820833333333333,0,2943,679,135
2022-05-28,27.8,15.6375,15.8375,15.433333333333332,0,3590,786,157
2022-05-29,52.6,16.395833333333332,16.712500000000002,16.104166666666668,0,3073,528,71
2022-05-30,0.2,14.0375,14.391666666666666,13.854166666666666,0,1328,272,70
2022-05-31,0.0,9.295833333333333,9.791666666666666,8.795833333333333,0,1368,352,89
2022-06-01,14.6,11.35,11.5875,11.1,0,2078,354,122
2022-06-02,2.0,10.3,10.5375,10.120833333333334,0,1883,393,98
2022-06-03,0.0,8.933333333333334,9.104166666666666,8.737499999999999,0,2827,737,104
2022-06-04,0.2,12.275,12.595833333333331,11.758333333333333,0,3608,825,163
2022-06-05,0.0,16.516666666666666,16.8125,16.216666666666665,0,3013,589,114
2022-06-06,22.4,16.599999999999998,16.9875,16.270833333333332,0,1887,341,94
2022-06-07,4.8,15.3,15.608333333333334,15.016666666666666,0,1696,386,133
2022-06-08,0.0,15.3125,15.754166666666668,14.891666666666666,0,1810,428,138
2022-06-09,0.2,13.8375,14.195833333333333,13.520833333333334,0,1933,476,110
2022-06-10,6.0,13.6,14.0875,13.283333333333331,0,2820,648,145
2022-06-11,0.0,6.258333333333333,6.929166666666667,5.833333333333333,1,3781,792,159
2022-06-12,0.0,6.166666666666667,6.641666666666667,5.4,2,3304,565,131
2022-06-13,0.0,8.6625,9.283333333333331,7.833333333333333,0,1364,263,82
2022-06-14,0.0,11.370833333333332,12.083333333333334,10.583333333333334,0,1425,318,81
2022-06-15,0.0,13.1625,13.833333333333334,12.395833333333334,1,2172,538,151
2022-06-16,0.0,18.65,19.2,17.308333333333334,2,2810,559,87
2022-06-17,60.2,18.316666666666663,18.95833333333333,18.008333333333333,0,2613,546,122
2022-06-18,0.0,9.270833333333334,9.933333333333334,8.929166666666667,0,2929,716,155
2022-06-19,0.0,9.3375,9.95,8.549999999999999,0,2498,459,88
2022-06-20,0.0,14.270833333333334,14.845833333333331,13.516666666666666,0,1232,259,62
2022-06-21,0.0,18.2,18.8625,17.537499999999998,0,1414,337,71
2022-06-22,56.8,18.28333333333333,18.683333333333334,17.645833333333332,0,1587,366,83
2022-06-23,28.8,18.2875,18.729166666666668,17.979166666666668,0,1877,376,65
2022-06-24,0.2,19.3,19.566666666666663,19.004166666666663,0,2433,677,151
2022-06-25,0.0,16.7375,17.099999999999998,16.604166666666668,0,2981,799,211
2022-06-26,0.0,13.925,14.35,13.516666666666666,0,2510,476,72
2022-06-27,0.0,17.133333333333333,17.541666666666668,16.7,0,1145,243,88
2022-06-28,0.0,17.743478260869566,18.14782608695652,17.139130434782608,0,1401,291,96
2022-06-29,11.4,11.491304347826087,12.321739130434782,11.065217391304348,0,1469,354,88
2022-06-30,0.2,10.391304347826088,10.991304347826087,9.678260869565218,0,1733,409,117
2022-07-01,0.0,14.156521739130437,14.795652173913044,13.35217391304348,0,2592,636,178
2022-07-02,0.0,20.20833333333333,20.641666666666666,19.633333333333333,0,3141,782,219
